fine_template,count
JJ + NN + CD + JJ,1
DT + NN + NN + VBZ + IN + DT + NN,1
VBG + PRP + IN + DT + NN,1
VBG + VBN,1
NNP + NNP + VBZ + VBG + DT + NN + NN,1
VBG + IN + NN + TO + VB,1
NN + VBD + IN + DT + NN + VBG,1
UH + VB + PRP + VB,1
VBG + RB + IN + DT + NN,1
PRP + VBD + PRP$ + NN,1
IN + PRP + VBD + IN + NN + NN + POS + NNS,1
VB + NNS + CC + IN + DT + NN,1
VBZ + NN + RB,1
NN + NNS + VB,1
NNS + JJ + CC + NN,1
NNS + CC + JJ + NN,1
JJ + JJ + VBZ,1
NNP + NN + JJ,1
JJ + JJ + NN + VBZ,1
IN + NNP + NN,1
NNS + VBG + DT + NN,1
NN + VBG + IN + NNS,1
NNS + IN + NNS,1
NN + NN + MD + VBG,1
VBN + NN + VBG,1
RBR,1
DT + JJ + CD,1
NNS + IN + RB,1
NN + IN + JJ + CD + POS + NN,1
NN + DT,1
NN + VBN,1
RB + CD + POS + JJ + NN,1
DT + NN + VBZ + VBG,1
VBP + PRP + VBG,1
WP + VBZ + DT + NN + IN + NN + NNP,1
RB + IN + NN + IN + NNP + POS + NN,1
CC + JJ + CC + NN,1
CD + NNS + RB,1
NN + JJ + IN + NN,1
IN + DT + IN + DT,1
NN + VBZ + VBN,1
DT + PRP + MD + VB + VBZ + NN,1
NN + VBZ + RP + PRP$ + NN,1
DT + NN + WP + VBZ + RB + VB + WRB + TO + VB,1
VBZ + RP,1
NNP + NN + VBZ + DT + JJ + NN,1
NNP + VBZ + RP + IN + DT + JJ + NN,1
NN + NNP + POS + NN + NN + VBZ + RB,1
NNS + VBP + RB + VBN,1
DT + JJ + NN + IN + NN + VBN + RB + RB,1
IN + NN + VBZ + PRP$ + NNS,1
NNP + RB + VBZ + JJ,1
NN + VBZ + RB + VBG,1
VB + UH,1
VBP + NNS + VBZ,1
VB + PRP + RP + IN + NNP,1
NN + CC + NN + NN,1
PRP + RB + IN + PRP,1
RB + DT,1
NN + UH,1
DT + NN + VBG,1
NNP + NN + NN + NN,1
NN + IN + JJ + NN,1
VBG + DT + JJ + NNS,1
JJ + VBD,1
VBG + NNS + VBP,1
VBG + NNS + VBG,1
NNP + NNS + VBG,1
VBZ + IN + JJ,1
RB + IN + NNS,1
RB + CD + NN + JJ + CC + RB + CD + NNS + VBP + VBN + VBN,1
VB + NN + IN + NNS + NN,1
NNP + NNP + NNP + NN + NN,1
CC + DT + RB + VBG + NN + IN + NN,1
NNP + NNP + NNP + NNP,1
NNS + VBP + IN + JJ + NNS,1
NNP + JJ,1
JJ + NNS + IN + NN,1
VBG + NN + VBG,1
DT + VBD + JJ,1
JJ + JJ + NN + VBG,1
RB + JJ + NN,1
JJ + VBD + VBG,1
RBR + JJ + NN + NN,1
IN + VBZ + JJ + NN,1
NNP + NNS + IN + NN,1
PRP + VBP + VBP + RB + NNS,1
VB + NNS + IN + NNS,1
DT + VBP + RB,1
VBG + RB + RB,1
DT + NN + NN + RB,1
CD + CD + NN,1
JJ + NNS + POS + NN,1
JJ + NNS + POS + NN + VBG,1
VBN + NNS,1
FW + FW + NNP + NNP,1
FW + NNP,1
VBG + PRP + DT + NNS,1
NN + VBZ + IN + DT + NN,1
NN + VBZ + RP,1
NNP + VBD,1
VBG + CC + VBG + NN,1
DT + NNS + VBZ + DT + VBN + CD + CD + TO + CD + CD + JJ + NNS + VBG + IN + CD + NN + JJ + NNS,1
NN + IN + NN + JJ + NNS + CC + NNS + VBZ + DT + NN + IN + DT + VBG + IN + JJ + NNS,1
DT + PRP$ + JJR + NN + NN,1
NNP + VBD + NN + IN + NNP + IN + CD + IN + DT + NN + NN + IN + DT + JJ + NN + VBD + PRP$ + NNS + IN + PRP$ + NNS,1
TO,1
TO + VB + DT + NNS,1
XX + IN + NNP,1
ADD,1
VBG + NNS + VBG + NN,1
PRP$ + JJR + NN,1
JJ + WRB + JJ + IN,1
VB + VBP + PRP + IN + DT + JJ,1
PRP + VBP + TO + VB + DT + NN + IN + VBG + RB,1
CC + VBG,1
PRP + VBP + VBN + IN + NNP + NNP,1
NNS + IN + NN + VBG + NNS,1
NNP + VBD + VBG,1
VBG + NN + CC + VBG,1
NNP + PRP + VBP + DT + NN + NN,1
NNP + PRP + VBD + PRP + VBD + JJ,1
NNP + PRP$ + JJ,1
NNP + RBR + JJ,1
VBD + JJ + NN,1
NN + VBZ + IN + VBG,1
NN + NN + VB + PRP$ + NN,1
PRP + VBD + TO + VB + PRP,1
NN + IN + DT + NN,1
