coarse_template,frequency,template_length
PRON + AUX + PRON + NOUN,1,4
SCONJ + PRON + VERB + ADP + NOUN + NOUN + PART + NOUN,1,8
VERB + NOUN + CCONJ + ADP + DET + NOUN,1,6
NOUN + ADJ + CCONJ + NOUN,1,4
PROPN + NOUN + ADJ,1,3
ADP + PROPN + NOUN,1,3
NOUN + VERB + DET + NOUN,1,4
NOUN + NOUN + AUX + VERB,1,4
DET + ADJ + NUM,1,3
NOUN + ADP + ADV,1,3
NOUN + ADP + ADJ + NUM + PART + NOUN,1,6
NOUN + PRON,1,2
ADV + NUM + PART + ADJ + NOUN,1,5
DET + NOUN + AUX + VERB,1,4
AUX + PRON + VERB,1,3
PRON + AUX + DET + NOUN + ADP + NOUN + PROPN,1,7
ADV + ADP + NOUN + ADP + PROPN + PART + NOUN,1,7
CCONJ + ADJ + CCONJ + NOUN,1,4
NUM + NOUN + ADV,1,3
NOUN + ADJ + ADP + NOUN,1,4
ADP + PRON + ADP + PRON,1,4
PRON + AUX + VERB,1,3
PRON + PRON + AUX + VERB + AUX + NOUN,1,6
NOUN + VERB + ADP + PRON + NOUN,1,5
DET + NOUN + PRON + AUX + PART + VERB + SCONJ + PART + VERB,1,9
PROPN + NOUN + VERB + DET + ADJ + NOUN,1,6
PROPN + VERB + ADP + ADP + DET + ADJ + NOUN,1,7
NOUN + PROPN + PART + NOUN + NOUN + AUX + ADV,1,7
DET + ADJ + NOUN + ADP + NOUN + VERB + ADV + ADV,1,8
SCONJ + PRON + VERB + PRON + NOUN,1,5
PROPN + ADV + VERB + ADJ,1,4
VERB + INTJ,1,2
VERB + PRON + ADP + ADP + PROPN,1,5
PART + PRON,1,2
NOUN + INTJ,1,2
PROPN + NOUN + NOUN + NOUN,1,4
VERB + DET + ADJ + NOUN,1,4
ADV + ADP + NOUN,1,3
ADV + NUM + NOUN + ADJ + CCONJ + ADV + NUM + NOUN + AUX + AUX + VERB,1,11
VERB + NOUN + ADP + NOUN + NOUN,1,5
PROPN + PROPN + PROPN + NOUN + NOUN,1,5
CCONJ + DET + ADV + VERB + NOUN + ADP + NOUN,1,7
PROPN + PROPN + PROPN + PROPN,1,4
PROPN + ADJ,1,2
PRON + AUX + ADJ,1,3
ADJ + VERB + VERB,1,3
ADV + ADJ + NOUN + NOUN,1,4
PROPN + NOUN + ADP + NOUN,1,4
PRON + VERB + VERB + ADV + NOUN,1,5
DET + NOUN + NOUN + ADV,1,4
VERB + ADV + ADV,1,3
NUM + NUM + NOUN,1,3
ADJ + NOUN + PART + NOUN,1,4
ADJ + NOUN + PART + NOUN + VERB,1,5
X + X + PROPN + PROPN,1,4
X + PROPN,1,2
VERB + PRON + DET + NOUN,1,4
VERB + CCONJ + VERB + NOUN,1,4
DET + NOUN + VERB + DET + VERB + NUM + NUM + PART + NUM + NUM + ADJ + NOUN + VERB + ADP + NUM + NOUN + ADJ + NOUN,1,18
NOUN + ADP + NOUN + ADJ + NOUN + CCONJ + NOUN + AUX + DET + NOUN + ADP + PRON + VERB + ADP + ADJ + NOUN,1,16
DET + PRON + ADJ + NOUN + NOUN,1,5
PROPN + VERB + NOUN + ADP + PROPN + ADP + NUM + SCONJ + DET + NOUN + NOUN + ADP + DET + ADJ + NOUN + VERB + PRON + NOUN + ADP + PRON + NOUN,1,21
PART,1,1
PART + VERB + DET + NOUN,1,4
X + ADP + PROPN,1,3
VERB + NOUN + VERB + NOUN,1,4
PRON + ADJ + NOUN,1,3
ADJ + SCONJ + ADJ + SCONJ,1,4
