feature_name
NUM NOUN AUX
NUM NOUN NOUN
NUM NOUN VERB
NUM NUM
NUM NUM ADJ
NUM NUM NOUN
NUM NUM PART
NUM PART
NUM PART ADJ
NUM PART NOUN
NUM PART NUM
NUM SCONJ
NUM SCONJ DET
NUM VERB
NUM VERB NUM
PART ADJ
PART ADJ NOUN
PART ADV
PART ADV ADJ
PART AUX
PART AUX PRON
PART NOUN
PART NOUN NOUN
PART NOUN VERB
PART NUM
PART NUM NUM
PART PRON
PART SCONJ
PART SCONJ PRON
PART VERB
PART VERB ADJ
PART VERB ADP
PART VERB DET
PART VERB NOUN
PART VERB PRON
PART VERB SCONJ
PART VERB VERB
PRON ADJ
PRON ADJ NOUN
PRON ADP
PRON ADP ADP
PRON ADP DET
PRON ADP PRON
PRON ADV
PRON ADV VERB
PRON AUX
PRON AUX ADJ
PRON AUX ADP
PRON AUX ADV
PRON AUX AUX
PRON AUX DET
PRON AUX NOUN
PRON AUX PART
PRON AUX PRON
PRON AUX PROPN
PRON AUX VERB
PRON DET
PRON DET NOUN
PRON NOUN
PRON NOUN ADP
PRON NOUN ADV
PRON NOUN AUX
PRON NOUN VERB
PRON NUM
PRON PART
PRON PART ADJ
PRON PART VERB
PRON PRON
PRON PRON ADV
PRON PRON AUX
PRON PRON VERB
PRON PROPN
PRON VERB
PRON VERB ADJ
PRON VERB ADP
PRON VERB ADV
PRON VERB DET
PRON VERB NUM
PRON VERB PART
PRON VERB PRON
PRON VERB VERB
PROPN ADJ
PROPN ADJ NOUN
PROPN ADJ VERB
PROPN ADP
PROPN ADP NOUN
PROPN ADP NUM
PROPN ADP PROPN
PROPN ADV
PROPN ADV ADJ
PROPN ADV VERB
PROPN AUX
PROPN AUX DET
PROPN AUX PART
PROPN AUX VERB
PROPN CCONJ
PROPN CCONJ ADJ
PROPN CCONJ NOUN
PROPN CCONJ PRON
PROPN CCONJ PROPN
PROPN CCONJ VERB
PROPN DET
PROPN DET ADJ
PROPN INTJ
PROPN INTJ NOUN
PROPN NOUN
PROPN NOUN ADJ
PROPN NOUN ADP
PROPN NOUN ADV
PROPN NOUN CCONJ
PROPN NOUN NOUN
PROPN NOUN VERB
PROPN NUM
PROPN PART
PROPN PART ADJ
PROPN PART NOUN
PROPN PART VERB
PROPN PRON
PROPN PRON ADJ
PROPN PRON AUX
PROPN PRON NUM
PROPN PRON VERB
PROPN PROPN
PROPN PROPN ADJ
PROPN PROPN ADP
PROPN PROPN AUX
PROPN PROPN CCONJ
PROPN PROPN NOUN
PROPN PROPN PROPN
PROPN PROPN VERB
PROPN VERB
PROPN VERB ADJ
PROPN VERB ADP
PROPN VERB ADV
PROPN VERB DET
PROPN VERB NOUN
PROPN VERB NUM
PROPN VERB PART
PROPN VERB PROPN
PROPN VERB VERB
SCONJ ADJ
SCONJ ADJ ADJ
SCONJ ADJ PROPN
SCONJ ADJ SCONJ
SCONJ AUX
SCONJ AUX DET
SCONJ AUX PRON
SCONJ DET
SCONJ DET NOUN
SCONJ NOUN
SCONJ NOUN PROPN
SCONJ PART
SCONJ PART VERB
SCONJ PRON
SCONJ PRON AUX
SCONJ PRON VERB
SCONJ SCONJ
SCONJ VERB
SYM NOUN
VERB ADJ
VERB ADJ ADJ
VERB ADJ NOUN
VERB ADP
VERB ADP ADJ
VERB ADP ADP
VERB ADP DET
VERB ADP NOUN
VERB ADP NUM
VERB ADP PRON
VERB ADP PROPN
VERB ADV
VERB ADV ADJ
VERB ADV ADP
VERB ADV ADV
VERB ADV NOUN
VERB ADV VERB
VERB AUX
VERB AUX NOUN
VERB CCONJ
VERB CCONJ NOUN
VERB CCONJ PROPN
VERB CCONJ VERB
VERB DET
VERB DET ADJ
VERB DET NOUN
VERB DET VERB
VERB INTJ
VERB INTJ ADV
VERB NOUN
VERB NOUN ADP
VERB NOUN ADV
VERB NOUN CCONJ
VERB NOUN NOUN
VERB NOUN PART
VERB NOUN PROPN
VERB NOUN VERB
VERB NUM
VERB NUM NOUN
VERB NUM NUM
VERB NUM VERB
VERB PART
VERB PART AUX
VERB PART VERB
VERB PRON
VERB PRON ADJ
VERB PRON ADP
VERB PRON ADV
VERB PRON DET
VERB PRON NOUN
VERB PRON PART
VERB PRON PRON
VERB PRON VERB
VERB PROPN
VERB PROPN NOUN
VERB PROPN NUM
VERB PROPN PROPN
VERB SCONJ
VERB SCONJ PART
VERB SCONJ VERB
VERB VERB
VERB VERB ADP
VERB VERB ADV
VERB VERB DET
VERB VERB NOUN
VERB VERB VERB
X ADJ
X ADJ ADJ
X ADP
X ADP PROPN
X NOUN
X NOUN ADJ
X PROPN
X PROPN PROPN
X X
X X PROPN
X X X
word_count
char_count
avg_word_length
mean_lexical_frequency
general_nsi
music_nsi
environmental_nsi
extraspeech_nsi
additionalnarrative_nsi
quotedspeech_nsi
misc_nsi
nonenglish_captions
